"","BLCA","BRCA","CHOL","COAD","ESCA","HNSC","KICH","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","READ","STAD","THCA","UCEC"
"PCK1",NA,-6.52356680850409,-8.90506695475722,-3.50269538157068,-0.879427224920763,-5.44689429926092,-4.71558190928669,-3.40439070281299,-4.61473099801811,-3.76585854141178,-1.01140537712572,-1.66751444194576,-0.941512032977337,-3.30084832981772,-0.99507436234547,-3.29691723762361,-1.25418687227343
"PCK2",1.21911994312513,0.595589625751874,-4.97926804928015,-0.850103930715544,0.37399747108266,0.20379926473483,-1.09848188521834,-1.46275845760832,-1.8781917153987,-1.72771857496953,-0.297017312370027,-0.173741068869834,-0.113656846222632,-0.109169122750341,-0.544898107467805,0.242786645028755,1.54359473348079
"GOT1",0.0022235985544512,0.53129269165478,-2.38090201356865,-0.805644292318384,-0.709667328468061,-1.05450581428802,0.743160771602334,-1.20688611316413,-0.465674908664262,-1.35295088875046,0.77351790045703,0.731812515164577,-0.163619937125745,-0.768413236729305,-0.483423392744456,-0.222167133740015,1.01520258386381
"PHYH",-0.214291198548977,-0.420443348471547,-4.01866993690679,-1.15082360977661,-0.984213039580894,-1.31996444738105,1.05647203594804,-1.09173402270135,-0.833839447990375,-1.26084203591359,-0.0531039128804665,-0.872785401477504,0.0399439871731673,-0.74271147890456,-0.781899895483971,-0.537020495040828,0.133007090043815
"TAT",2.88850290597408,-3.98124499332986,-9.60241480896217,-4.48080209177519,0.535352833516995,0.746033985205687,-2.62771332386915,-0.611909398024517,0.373383211622992,-3.23930130790405,0.551174916257128,-1.15882841305659,0.59139472040561,-4.05927955237882,0.724836700488865,-0.715737280111698,-0.260589112259836
"SUCLG2P2",-0.955765857027041,-0.476403271607833,-2.98002885152666,-1.40210914340577,-1.52770138161264,-1.17865949143756,-0.0598704396996972,-1.23252967587309,-1.45961177536001,-1.91157826211641,-0.229001879285606,-0.888050781880475,-0.516606949025137,-0.98476821274415,-0.691044433829481,-0.230980705293799,-1.600515357432
"LIPF",NA,NA,NA,NA,-11.7702085277136,NA,-0.617136591444613,NA,NA,NA,NA,NA,NA,NA,-5.9373589813654,NA,NA
"AADAT",0.396045879201417,-0.666898349874222,-4.60566770262133,1.02060360348383,-0.0093931230986577,-0.455812356289149,-0.27561211139292,-0.567247216608134,-0.558593297642711,-3.52195144792428,-0.395271764515572,-0.520098728675308,0.919847634777778,0.473441577001434,-0.309720582484402,-0.265071630263998,0.00794367035792121
"ATP6V0D2",3.57946332416111,1.97283044938801,3.88897751185848,-2.47965280114297,2.89713629840995,2.89562131962408,3.2040658624984,-7.63944517702224,-7.23370298443988,3.56212074240897,-0.85767167031621,-1.31366542521017,-2.17936558163799,-2.41425739840356,3.38311753738498,0.132183888243105,2.92998189486583
"ATP4A",2.92854507336664,NA,NA,NA,-7.65046470110301,NA,4.54904232594535,NA,NA,NA,NA,6.41906656877073,NA,NA,-6.41483098999275,-2.18333489803682,5.18459059293392
"ATP12A",2.63696177886723,-1.81421288243587,-0.292092566999131,-1.92604884257626,3.49070328189461,-2.19979272286372,-10.7274595017241,NA,NA,NA,-1.37070947565238,1.16106632102442,-1.38913623244856,-3.24464838341451,0.210064137008024,0.239149923327458,3.77760406662448
"AGXT",NA,-3.92474634545194,-11.1062626667126,-1.66786920503744,1.80388138330833,NA,-7.5469136317908,-2.55417750613882,-5.66102010680387,-2.08202833986544,NA,NA,0.588236763150709,-1.00702796517402,2.31083561709416,NA,4.18612341362767
"CKMT1B",3.03014597319704,0.949021384844931,9.93122466533084,-1.25531038424262,0.657736735016888,-0.581297188874391,3.04239331211692,-5.84157391567115,0.704582285256192,NA,2.00512467715776,4.30376264684127,0.650974931611675,-0.923230867780166,0.295565554542971,-0.658926545913484,4.52246414242209
"MAOB",-4.21065073054229,-2.29962252250496,-1.69748303308491,-2.76863647811643,-2.32965509412484,-2.6342019815514,-5.3356719415347,0.334170588967069,-0.652162886170416,-1.11836162694028,-2.00487134549674,-2.75815224339934,-1.39064879135453,-3.07273478503883,-2.37698464564102,-1.46399980981399,-3.88672135649014
"MGST1",0.216280763771234,-1.19211418121981,-3.74729331012477,-0.6864641201234,-0.385353872769404,-2.98662275638039,-5.30101108415924,0.759018899182724,0.620414397841003,-1.24098940832081,0.715843194079635,-0.357378243161541,0.362396863755546,-0.367857001588153,-0.339845930457333,0.584182784748727,0.998840755710521
"UCP1",3.42379823566901,-3.85749322197807,NA,NA,4.10723273032807,NA,2.5603916027689,NA,NA,NA,NA,-0.53611444517711,NA,NA,NA,-1.26343854211522,NA
"NDUFA4L2",0.949704732059839,-0.126707750710587,1.38025238810989,1.52260195653959,1.42122514010615,0.794773560280113,0.815743074585676,6.62921877935591,-0.499582051891196,2.28739288869263,-0.812309708456855,1.82208237875713,0.398547287750299,1.52226511228953,-0.255704427330357,1.1409488441604,1.07377512713326
"ATP6V1B1",1.47999125048419,-0.581528784894427,3.01887069231337,1.17840895818818,1.0548013222587,-1.06314293343445,2.12390205885394,-6.66710043968573,-6.97789305709562,3.23835651513083,-0.539543570477163,0.25388037197718,-0.963655171947565,0.746166197870354,1.85048722858104,2.10154414303016,1.78006524384809
"ATP6V0A4",3.14203684218903,-0.498623921943004,NA,4.16675815098922,2.2686475220856,-4.71244638597786,2.14977281827245,-9.38951968047264,-6.94414538685001,NA,0.52020763426996,-0.913989027530357,-3.35695220807701,NA,0.969188690505938,1.76469906010937,4.63848293890179
"COX6A2",NA,NA,-6.6814874792085,NA,NA,-4.7324461563647,-3.4075171744904,0.023161068082139,-2.77488870154273,-4.98332971422171,NA,NA,NA,NA,NA,NA,NA
